# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 16.11.2020 по 27.12.2020, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.12.2020 06:00";"-4.8";"774.6";"775.0";"-0.3";"66";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-4.8";"";"";"";"";"";"";"10.0";"-10.2";"Осадков нет";"12";"";"";"";"";
"08.12.2020 03:00";"-4.2";"774.9";"775.3";"0.0";"64";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-10.0";"";"";"";"";"";"";
"08.12.2020 00:00";"-3.4";"774.9";"775.3";"0.2";"64";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-9.4";"";"";"";"";"";"";
"07.12.2020 21:00";"-2.9";"774.7";"775.1";"0.3";"62";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"-0.2";"";"";"";"";"";"10.0";"-9.2";"Осадков нет";"12";"";"";"";"";
"07.12.2020 18:00";"-2.0";"774.4";"774.8";"0.3";"61";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-8.7";"Осадков нет";"12";"";"";"";"";
"07.12.2020 15:00";"-0.5";"774.1";"774.5";"-0.1";"53";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-8.9";"";"";"";"";"";"";
"07.12.2020 12:00";"-1.4";"774.2";"774.6";"0.4";"53";"Ветер, дующий с юга";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-9.8";"";"";"";"";"";"";
"07.12.2020 09:00";"-1.5";"773.8";"774.1";"0.8";"55";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"-1.6";"";"";"";"";"";"";"10.0";"-9.4";"Осадков нет";"12";"";"";"";"";
"07.12.2020 06:00";"-1.1";"773.0";"773.5";"0.3";"52";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"-1.2";"";"";"";"";"";"";"10.0";"-9.7";"Осадков нет";"12";"";"";"";"";
"07.12.2020 03:00";"0.0";"772.7";"773.1";"0.1";"50";"Ветер, дующий с юга";"4";"";"10";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-9.2";"";"";"";"";"";"";
"07.12.2020 00:00";"1.1";"772.6";"773.0";"0.9";"54";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-7.2";"";"";"";"";"";"";
"06.12.2020 21:00";"1.3";"771.7";"772.1";"0.2";"77";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"2.8";"";"";"";"";"";"10.0";"-2.3";"Осадков нет";"12";"";"";"";"";
"06.12.2020 18:00";"1.7";"771.5";"771.9";"1.0";"81";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.2";"Следы осадков";"12";"";"";"";"";
"06.12.2020 15:00";"2.5";"770.5";"770.9";"0.0";"82";"Ветер, дующий с юга";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.3";"";"";"";"";"";"";
"06.12.2020 12:00";"2.6";"770.5";"770.8";"0.8";"83";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"10.0";"-0.1";"";"";"";"";"";"";
"06.12.2020 09:00";"2.2";"769.7";"770.1";"0.7";"88";"Ветер, дующий с юга";"4";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.2";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"0.4";"Следы осадков";"12";"";"";"";"";
"06.12.2020 06:00";"2.5";"769.0";"769.4";"0.7";"86";"Ветер, дующий с юга";"4";"";"";"100%.";" ";"";"";"2.3";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"0.4";"Следы осадков";"12";"";"";"";"";
"06.12.2020 03:00";"2.6";"768.3";"768.7";"0.1";"87";"Ветер, дующий с юга";"4";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"0.7";"";"";"";"";"";"";
"06.12.2020 00:00";"2.4";"768.2";"768.6";"0.6";"88";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"0.6";"";"";"";"";"";"";
"05.12.2020 21:00";"2.5";"767.6";"768.0";"0.4";"84";"Ветер, дующий с юга";"4";"";"10";"100%.";" ";"";"";"";"2.9";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"0.1";"Следы осадков";"12";"";"";"";"";
"05.12.2020 18:00";"2.8";"767.2";"767.6";"0.3";"87";"Ветер, дующий с юга";"4";"11";"11";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"0.9";"Следы осадков";"12";"";"";"";"";
"05.12.2020 15:00";"2.9";"766.9";"767.3";"0.4";"87";"Ветер, дующий с юга";"5";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"1.0";"";"";"";"";"";"";
"05.12.2020 12:00";"2.4";"766.5";"766.9";"0.8";"93";"Ветер, дующий с юга";"3";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"1.3";"";"";"";"";"";"";
"05.12.2020 09:00";"1.9";"765.7";"766.1";"-0.1";"89";"Ветер, дующий с юга";"2";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.1";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"0.3";"Следы осадков";"12";"";"";"";"";
"05.12.2020 06:00";"1.6";"765.8";"766.2";"-0.4";"85";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"-0.2";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-0.6";"Осадков нет";"12";"";"";"";"";
"05.12.2020 03:00";"1.1";"766.2";"766.6";"-0.4";"82";"Ветер, дующий с юга";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.6";"";"";"";"";"";"";
"05.12.2020 00:00";"0.3";"766.6";"767.0";"0.0";"82";"Ветер, дующий с востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.5";"";"";"";"";"";"";
"04.12.2020 21:00";"0.1";"766.6";"767.1";"-0.4";"82";"Ветер, дующий с востоко-юго-востока";"4";"10";"10";"70 – 80%.";" ";"";"";"";"0.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.6";"Осадков нет";"12";"";"";"";"";
"04.12.2020 18:00";"-0.1";"767.0";"767.4";"-0.7";"81";"Ветер, дующий с востоко-юго-востока";"4";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-3.0";"Осадков нет";"12";"";"";"";"";
"04.12.2020 15:00";"0.0";"767.7";"768.1";"-0.5";"74";"Ветер, дующий с востоко-юго-востока";"2";"";"10";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.1";"";"";"";"";"";"";
"04.12.2020 12:00";"-0.4";"768.2";"768.6";"0.4";"76";"Ветер, дующий с юго-востока";"2";"";"10";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.1";"";"";"";"";"";"";
"04.12.2020 09:00";"-0.7";"767.8";"768.1";"0.1";"83";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"-1.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.2";"Осадков нет";"12";"";"";"";"";
"04.12.2020 06:00";"-0.6";"767.7";"768.1";"-0.3";"81";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"-1.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.5";"Осадков нет";"12";"";"";"";"";
"04.12.2020 03:00";"-0.6";"768.0";"768.4";"-0.5";"79";"Ветер, дующий с востоко-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-3.8";"";"";"";"";"";"";
"04.12.2020 00:00";"-0.8";"768.5";"768.9";"-0.2";"81";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.7";"";"";"";"";"";"";
"03.12.2020 21:00";"-1.0";"768.7";"769.0";"-0.3";"80";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"-0.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-4.0";"Следы осадков";"12";"";"";"";"";
"03.12.2020 18:00";"-1.3";"769.0";"769.3";"-0.2";"86";"Ветер, дующий с востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.4";"Следы осадков";"12";"";"";"";"";
"03.12.2020 15:00";"-0.9";"769.2";"769.6";"-0.8";"78";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-4.3";"";"";"";"";"";"";
"03.12.2020 12:00";"-1.1";"770.0";"770.4";"-0.2";"78";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.5";"";"";"";"";"";"";
"03.12.2020 09:00";"-1.3";"770.2";"770.6";"-0.9";"83";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"-1.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.9";"Следы осадков";"12";"";"";"";"";
"03.12.2020 06:00";"-1.4";"771.1";"771.4";"-1.1";"79";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"-1.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-4.7";"Следы осадков";"12";"";"";"";"";
"03.12.2020 03:00";"-1.2";"772.2";"772.6";"-0.7";"84";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.6";"";"";"";"";"";"";
"03.12.2020 00:00";"-1.0";"772.9";"773.2";"-0.3";"88";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Снежные зерна (с туманом или без него). ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"-2.8";"";"";"";"";"";"";
"02.12.2020 21:00";"-1.0";"773.2";"773.6";"-0.5";"88";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"1.5";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.8";"Осадков нет";"12";"";"";"";"";
"02.12.2020 18:00";"-0.6";"773.7";"774.1";"-0.4";"88";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.3";"Осадков нет";"12";"";"";"";"";
"02.12.2020 15:00";"0.1";"774.1";"774.4";"0.0";"85";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-2.1";"";"";"";"";"";"";
"02.12.2020 12:00";"0.6";"774.1";"774.5";"0.9";"85";"Ветер, дующий с юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-1.6";"";"";"";"";"";"";
"02.12.2020 09:00";"1.5";"773.2";"773.6";"0.6";"84";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"1.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2000-2500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.9";"Следы осадков";"12";"";"";"";"";
"02.12.2020 06:00";"2.1";"772.6";"773.0";"0.4";"85";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"1.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.2";"0.4";"12";"";"";"";"";
"02.12.2020 03:00";"2.6";"772.2";"772.6";"1.1";"87";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"0.7";"";"";"";"";"";"";
"02.12.2020 00:00";"2.2";"771.1";"771.6";"1.2";"92";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"1.0";"";"";"";"";"";"";
"01.12.2020 21:00";"2.0";"769.9";"770.2";"1.2";"89";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"2.4";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"0.4";"0.4";"12";"";"";"";"";
"01.12.2020 18:00";"2.0";"768.7";"769.0";"1.5";"87";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"0.1";"Следы осадков";"12";"";"";"";"";
"01.12.2020 15:00";"2.3";"767.2";"767.5";"0.9";"85";"Ветер, дующий с юго-юго-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.0";"";"";"";"";"";"";
"01.12.2020 12:00";"1.6";"766.3";"766.7";"1.5";"85";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.7";"";"";"";"";"";"";
"01.12.2020 09:00";"1.1";"764.8";"765.2";"1.0";"88";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.7";"Следы осадков";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"Менее 0.5";
"01.12.2020 06:00";"0.6";"763.8";"764.2";"0.1";"90";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.4";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.9";"Следы осадков";"12";"";"";"";"";
"01.12.2020 03:00";"0.8";"763.7";"764.1";"-0.3";"85";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.4";"";"";"";"";"";"";
"01.12.2020 00:00";"0.7";"764.0";"764.5";"-0.2";"85";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег неливневый. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.5";"";"";"";"";"";"";
"30.11.2020 21:00";"1.1";"764.2";"764.7";"-0.9";"84";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"2.5";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.3";"Следы осадков";"12";"";"";"";"";
"30.11.2020 18:00";"1.3";"765.1";"765.5";"-0.8";"80";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"300-600";"Высокослоистые просвечивающие.";"";"10.0";"-1.8";"Следы осадков";"12";"";"";"";"";
"30.11.2020 15:00";"2.0";"765.9";"766.3";"-0.9";"83";"Ветер, дующий с востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"300-600";"";"";"10.0";"-0.7";"";"";"";"";"";"";
"30.11.2020 12:00";"2.3";"766.8";"767.2";"-0.1";"84";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.1";"";"";"";"";"";"";
"30.11.2020 09:00";"1.8";"766.9";"767.4";"-0.7";"91";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"0.5";"0.6";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"Менее 0.5";
"30.11.2020 06:00";"0.4";"767.6";"768.0";"-1.1";"92";"Ветер, дующий с востока";"1";"";"";"100%.";"Снег неливневый. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"-0.8";"0.6";"12";"";"";"";"";
"30.11.2020 03:00";"0.1";"768.7";"769.1";"-1.4";"86";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.0";"";"";"";"";"";"";
"30.11.2020 00:00";"-0.6";"770.1";"770.5";"-0.9";"85";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.8";"";"";"";"";"";"";
"29.11.2020 21:00";"-0.3";"771.0";"771.4";"-0.7";"83";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"0.1";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.8";"Осадков нет";"12";"";"";"";"";
"29.11.2020 18:00";"-0.4";"771.7";"772.0";"-1.2";"84";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.8";"Осадков нет";"12";"";"";"";"";
"29.11.2020 15:00";"-0.6";"772.9";"773.2";"-0.6";"83";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.1";"";"";"";"";"";"";
"29.11.2020 12:00";"-0.4";"773.5";"773.8";"0.0";"81";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.3";"";"";"";"";"";"";
"29.11.2020 09:00";"-0.3";"773.5";"773.8";"0.0";"82";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"-0.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-3.0";"Осадков нет";"12";"";"";"";"";
"29.11.2020 06:00";"-0.5";"773.5";"773.9";"0.0";"84";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"-0.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.9";"Осадков нет";"12";"";"";"";"";
"29.11.2020 03:00";"0.1";"773.5";"773.8";"0.5";"84";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.3";"";"";"";"";"";"";
"29.11.2020 00:00";"0.6";"773.0";"773.4";"0.7";"85";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-1.7";"";"";"";"";"";"";
"28.11.2020 21:00";"0.9";"772.3";"772.7";"0.9";"84";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"2.1";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-1.5";"Осадков нет";"12";"";"";"";"";
